pitcher_id,season,pitcher_name,pitch_count,composure_plus,adversity_composure_plus,momentum_composure_plus,composure_score,adversity_score,momentum_score,walk_after_barrel,walk_after_hard_hit,walk_after_high_xba,first_ball_after_barrel,first_ball_after_hard_hit,first_ball_after_high_xba,walk_after_walk,hard_hit_after_walk,walk_after_soft_hit,walk_after_low_xba,first_ball_after_soft_hit,first_ball_after_low_xba,hard_hit_after_soft,ball_after_foul
622072,2021,"wood, alex",2199,110.3,114.6,103.8,0.25469957811312144,0.3651181550948767,0.14428100113136616,0.08334969351918503,0.07566007146638433,0.075157668541028,0.37866195493314136,0.3639174717663667,0.38513114573250035,0.11990738432734546,0.11333866680593835,0.07161431826760001,0.11054358843561715,0.37084666893434215,0.3691734885612465,0.1387149651187722,0.36246504171118243
592662,2021,"ray, robbie",3141,110.2,115.8,102.8,0.2292072410148512,0.354723508935236,0.10369097309446638,0.09655648680038924,0.06554901317605641,0.07391923828109827,0.4065982358665285,0.3839351925527297,0.4046566407239313,0.09282887472696287,0.16993561124312906,0.09494334360680257,0.08277723873233697,0.4026025233590056,0.4052875587512572,0.1538714757773833,0.33017480236537977
448179,2021,"hill, rich",2496,110.1,110.5,106.8,0.24109826727718847,0.25874456217111463,0.22345197238326228,0.10556842556842556,0.09987786730470231,0.09216151848376267,0.31121407121407124,0.35103493217397586,0.3527189340939858,0.08328571938120033,0.1618113895265457,0.0686695442015186,0.09593430362033735,0.4058488002558423,0.399679194918791,0.16862761756553368,0.34421579546746167
543056,2021,"coulombe, danny",533,109.8,112.5,104.9,0.48504236236135423,0.6226518959078166,0.34743282881489196,0.08335387058791313,0.05942724431769668,0.07734900902884013,0.3689586242777732,0.3964747804208861,0.4045116869667219,0.08889936304064626,0.14349587907591796,0.09074194292050482,0.07582677653677107,0.376333182000116,0.3766218610565962,0.11914167193504269,0.3303356575742564
660813,2021,"graterol, brusdar",546,109.8,103.9,111.5,0.4735293160253433,0.22539275508492135,0.7216658769657653,0.09110771901469575,0.08218402013503849,0.07997100933490252,0.3800245428152405,0.4137094102823673,0.40127479499949215,0.0982314394757687,0.1662763735868078,0.053040784955871736,0.0868561258512105,0.335962144226507,0.32231231357391926,0.16988585323154326,0.32025735713808784
669203,2021,"burnes, corbin",2594,109.6,95.4,118.0,0.2289933800396851,-0.07625256425569446,0.5342393243350647,0.11835263835263835,0.0826289155666365,0.09924342176628934,0.40682110682110684,0.38259609017306384,0.39514086023120404,0.087488252832765,0.11789643897899227,0.0955179636514841,0.060161951623653176,0.37957950934093676,0.38308811024701117,0.04547698989358973,0.3517999328889014
543339,2021,"hudson, daniel",869,109.6,109.5,106.8,0.3539576557486991,0.364408863849845,0.34350644764755317,0.09106725773392439,0.08238390069126368,0.05633772046604922,0.41372324705658037,0.42871646936369473,0.38901837734803085,0.09267116931676293,0.17573242791208282,0.0624702578369156,0.09470634298059963,0.41791096986677495,0.3889701187961567,0.13342111602826207,0.3313399550366882
572971,2021,"keuchel, dallas",2730,109.6,120.6,98.1,0.2251871274075765,0.4713194745884736,-0.020945219773320662,0.07686257686257686,0.055657983607455136,0.08268701994808565,0.3482339482339482,0.4056404390005456,0.3858158028369103,0.11793635617612312,0.17142394732020189,0.09046192512630685,0.09597522194199491,0.4100730303379218,0.3789504560808801,0.19179885945786207,0.37567149789761667
656529,2021,"hentges, sam",1260,109.3,137.1,84.7,0.2884011785186968,1.091514649268281,-0.5147122922308874,0.06754537789020547,0.03919669306060845,0.039556271816587746,0.4024319886388852,0.4104408126180312,0.42207673303159615,0.08326157709561176,0.20160307999070973,0.09577349568110001,0.10920587112663742,0.5087608004783138,0.5019416858680817,0.15221685023121515,0.35010200486054294
664141,2021,"brubaker, jt",1946,109.3,120.2,98.1,0.24380179793548037,0.5127392569514992,-0.0251356610805385,0.11151594250185799,0.06947591318157756,0.08439598071463975,0.3710007794514837,0.33265149108875947,0.367521361456457,0.05778319969162865,0.21545669034518106,0.11922809647277448,0.07528462798806873,0.40287938754613384,0.37555834560964785,0.14187198738490633,0.36335615981946123
