season,pitcher_name,pitch_count,composure_plus,adversity_composure_plus,momentum_composure_plus,composure_score,adversity_score,momentum_score,walk_after_barrel,walk_after_hard_hit,walk_after_high_xba,first_ball_after_barrel,first_ball_after_hard_hit,first_ball_after_high_xba,walk_after_walk,hard_hit_after_walk,walk_after_soft_hit,walk_after_low_xba,first_ball_after_soft_hit,first_ball_after_low_xba,hard_hit_after_soft,ball_after_foul
2024,"gilbert, logan",3043,157.0,164.8,135.0,0.8904627757195813,1.0504559381492147,0.730469613289948,0.08650235213702706,0.050471971448157626,0.06768647901845935,0.36420730971814563,0.33149098033967805,0.29813802985230464,0.047778186725555144,0.20452459820880875,0.07365300371321677,0.0586215330013622,0.3398100192912606,0.3687296843051215,0.14465170463317753,0.38415583028259287
2024,"junis, jakob",944,153.9,148.8,142.9,1.304865261923341,1.2241741007781848,1.3855564230684971,0.06655783844638334,0.043577323144921465,0.05825376335388165,0.34625386996904023,0.321258958980316,0.3466341308868584,0.07026203930228699,0.1635165659933462,0.036014437589240736,0.05180172215640858,0.33174641048656794,0.2984422794702689,0.16947881514810648,0.3411979095035071
2024,"crochet, garrett",2395,153.1,148.4,141.9,0.884328906537623,0.8365785363392684,0.9320792767359777,0.0665811587793012,0.04608135978948866,0.0655982047095893,0.3863423264042459,0.38351646397837996,0.38293445399282566,0.0844021026207261,0.13255570340590586,0.06547098279381744,0.051945523608455266,0.339884131398998,0.358812179315238,0.15708857288361341,0.31271224483252147
2024,"ober, bailey",2697,153.1,144.4,145.0,0.8552288216693312,0.7420472391040415,0.968410404234621,0.0744826462440932,0.06274802645615532,0.0739828956713393,0.3426837216881212,0.30851646397837995,0.2871121101486431,0.09753822732291631,0.15158346438250747,0.050637884426795524,0.0667885655578556,0.3396086715412732,0.34006274327543135,0.14015476044769012,0.3483653171523164
2024,"wheeler, zack",3136,151.6,145.1,142.3,0.7996903550364147,0.7246978665821419,0.8746828434906877,0.07075851393188855,0.07811281290769376,0.09575414917254021,0.35054953560371516,0.36903258751971796,0.35143100923034315,0.055833640044166355,0.12339344865660656,0.05913477636283119,0.0649334202020401,0.33122441484937837,0.35452141768603723,0.13911976280742683,0.36878351341431753
2024,"cecconi, slade",1298,151.2,142.5,143.8,1.0660400401468415,0.9164111947917536,1.2156688855019295,0.07061638052350126,0.05760169973686082,0.06677340348574254,0.3339994370954123,0.33356224663964157,0.3473210429507648,0.0790235173175282,0.17826456664932167,0.04870522137113813,0.05668436816342766,0.2912701388516912,0.30990284460777184,0.16377417108575712,0.37105368156805374
2024,"kikuchi, yusei",2926,150.0,123.2,156.9,0.7880717394211136,0.37894747762654335,1.197196001215684,0.10070559435524516,0.07880354197948829,0.053502081855338786,0.3609763121895025,0.3774967023736201,0.34778341992322664,0.08127609881995847,0.16468326994642785,0.04104916178406992,0.04155641888676421,0.3972392339846408,0.3849220838777223,0.16999920464487392,0.38819785593273154
2024,"lively, ben",2409,148.9,147.4,136.4,0.8127754621708185,0.8172053605105611,0.8083455638310759,0.08086687306501548,0.060926879819561706,0.054080938360353464,0.3720566121185316,0.32872839769575424,0.36394596867086737,0.08425960004907372,0.09265938739622952,0.058100077446169116,0.07022038908454384,0.34135412985076646,0.3219632004397816,0.17913820375102119,0.4101242566122385
2024,"holton, tyler",1344,148.4,136.0,144.6,0.9928113000889656,0.7647512832779814,1.2208713168999499,0.06779039101020524,0.05807388685562357,0.057516373944338846,0.3897030157092076,0.33361507278725117,0.35490458492626525,0.09626489662787302,0.16102318733897683,0.04725853162744095,0.0414802765351769,0.4014304317570865,0.37019201231125715,0.09950365115251682,0.33723746991124964
2024,"suarez, ranger",2359,146.8,143.9,136.0,0.7839505974742587,0.7628538795437803,0.8050473154047371,0.10743034055727554,0.08869048595952798,0.05072708171785092,0.35554778787576147,0.31555365905696603,0.2948640481331392,0.043173060294176335,0.17276319115253802,0.04767995486071488,0.06884610671785847,0.37795909569274855,0.3819069419705884,0.17418406938263153,0.3993266259868121
