pitcher_id,season,pitcher_name,pitch_count,stamina_plus,outing_stamina_plus,inning_stamina_plus,stamina_score,outing_score,inning_score,velo_slope_outing,spin_slope_outing,velo_slope_inning,spin_slope_inning
641835,2024,"mayza, tim",740,109.7,108.0,109.1,0.4083486158870271,0.3458837396911058,0.4708134920829484,1.867676838264547e-05,0.00026897478961229553,0.0004335008690110873,0.0008637091970487853
656427,2024,"flaherty, jack",2646,109.6,93.0,124.3,0.23744667791281235,-0.22770382466228295,0.7025971804879076,-2.177468908930961e-05,-1.4322997208024378e-05,0.000589273893807507,0.0007245881657951527
656550,2024,"holmes, grant",1029,109.6,102.9,114.3,0.34075122857269824,0.07847456644066708,0.6030278907047294,-8.394039907666486e-05,0.00034392550253357804,0.0005115846656869253,0.0008144845948280082
677053,2024,"nardi, andrew",910,109.5,113.1,103.5,0.3557507501274977,0.5321126019578084,0.1793888982971869,0.0001234399639751359,0.00013447362040155546,0.0003827336799956507,0.0006327839829151375
657508,2024,"baumann, mike",1069,109.3,122.2,93.7,0.32097263283564914,0.8612870937489554,-0.21934182807765717,0.00011566034736429981,0.00037366271699215394,0.0003656100635973736,0.00017043198741600903
608344,2024,"irvin, cole",1772,109.3,94.8,122.0,0.26129506226634935,-0.2027785570275734,0.7253686815602721,1.079825175909919e-06,-5.4156866235953425e-05,0.0006192450155166825,0.0006698927026389434
663567,2024,"lambert, peter",1044,109.3,118.1,98.0,0.3244621019818016,0.7006217921278383,-0.05169758816423514,2.44620170920128e-05,0.0004917177100627506,0.00022849528310229484,0.0007685045207131882
701581,2024,"festa, david",1099,109.2,94.7,122.0,0.31625088157014636,-0.25136428380460524,0.883866046944898,1.0206398439412768e-06,-8.647642657225808e-05,0.0006322285570595521,0.0008364018873390795
592866,2024,"williams, trevor",1064,109.2,99.4,117.1,0.3213605592290507,-0.06194818825934645,0.7046693067174479,-8.617366492970722e-05,0.00025561246651670374,0.00044852971080353374,0.001120932454532107
623211,2024,"brazobán, huascar",903,109.1,111.9,104.1,0.3443535305789799,0.48190329237185436,0.20680376878610546,0.0001877331852185726,-5.7990335736451795e-05,0.000500238506585874,0.00033917944237356063
663158,2024,"suarez, robert",981,109.1,118.9,96.9,0.3299586825186898,0.7592404698546923,-0.09932310481731266,0.000266843890736077,-6.820618682696773e-05,0.0006595134732820125,-0.0004980944641726049
519008,2024,"mcfarland, t. j.",857,109.0,111.3,104.5,0.34896331020804827,0.4671797203490822,0.23074690006701443,0.00010117957133765209,0.00014610520171052355,0.00042312712198700993,0.0005855167584289659
519293,2024,"smith, will",681,109.0,116.7,99.0,0.39968814792673923,0.8118920884716155,-0.012515792618137088,0.00015442319373180363,0.00024484618044648686,0.00041046181926858183,0.00030964429945998836
688297,2024,"roycroft, chris",596,108.6,116.8,98.1,0.4103013203209755,0.886587381796875,-0.06598474115492407,0.0001234388268411687,0.0003713427954247302,0.0002991724796268624,0.0005525216822629586
592662,2024,"ray, robbie",568,108.6,96.6,118.9,0.4271474182782979,-0.25077263314459,1.1050674697011857,-2.9009609638752765e-05,-1.1855472838132588e-05,0.000674203187157392,0.0010020581527612974
608723,2024,"voth, austin",976,108.6,116.2,98.7,0.31069019691235944,0.6476835204414845,-0.026303126616765614,0.00013897676131020804,0.0001732979511370676,0.0004138113654192159,0.00028263140539508223
573204,2024,"thielbar, caleb",895,108.5,111.7,103.2,0.32186740882674825,0.4748644091876872,0.16887040846580936,7.77211038715901e-05,0.00020922241253957003,0.00042138919844124313,0.0005111955713381778
656232,2024,"bielak, brandon",510,108.4,114.2,100.4,0.4448287476766176,0.8232365817964862,0.06642091355674903,3.170115741529227e-05,0.0005557581541679847,0.0003525579137695819,0.0005726286118246233
669358,2024,"baz, shane",1207,108.4,97.9,117.2,0.2755692855560556,-0.11680494208928896,0.6679435132014001,-3.5271118359468875e-05,9.314066214596819e-05,0.0006131674188691968,0.0006134068418642427
608717,2024,"stratton, chris",999,108.3,118.7,95.6,0.2968580244134712,0.7442688653256618,-0.1505528164987194,4.716916711229783e-05,0.00046475832451370086,0.0002555809114091383,0.0005662362729100742
650893,2024,"cabrera, génesis",1047,108.1,116.4,97.6,0.2827086556282562,0.6323019190008393,-0.06688460774432697,0.00036373739789470144,-0.0003925199363534454,0.0005608554686631473,-0.00018061507590589343
592094,2024,"adam, jason",1121,108.1,115.5,98.6,0.27413173417390474,0.5761595549967357,-0.027896086648926177,1.808711109761141e-05,0.0004243066454129867,0.00022340714633905381,0.0008131956376170284
607200,2024,"fedde, erick",2895,108.1,94.8,119.9,0.19543579638178393,-0.1733691153811688,0.5642407081447367,-3.6173139727837286e-05,5.7572994866516375e-05,0.00044792338039971593,0.0009429238386787418
672578,2024,"hernández, carlos",560,108.0,107.3,106.8,0.3986199403514943,0.37019862787991265,0.4270412528230759,0.00012486561439515402,2.2756045441784955e-05,0.0006204752900925103,0.0002846856114660718
573124,2024,"rogers, taylor",1082,108.0,115.5,98.3,0.27441393004145254,0.5874495478803258,-0.038621687797420645,2.0040794744055347e-05,0.00042702191073063617,0.00018255387700741625,0.0009137458569399658
605483,2024,"snell, blake",1774,107.9,95.7,118.5,0.2205313297748237,-0.17026767727310432,0.6113303368227517,4.1724415755643836e-05,-0.00013289352770260205,0.0005989593115190314,0.0005807029137838511
670990,2024,"ramírez, yohan",774,107.8,116.2,97.4,0.32019365031112595,0.7298661039807429,-0.08947880335849101,0.00016883895858708483,0.0001544035893839028,0.00041170450841903527,0.00020767965641986833
623352,2024,"hader, josh",1168,107.5,105.7,107.6,0.24905578687658503,0.18330879751003304,0.314802776243137,0.00022781011227810216,-0.00035657441778674234,0.0006174368314563794,0.00014955472978725391
548389,2024,"stripling, ross",1367,107.4,100.8,112.3,0.22838412024971563,-0.0036809672287819173,0.4604492077282132,2.306962609248603e-05,2.4531621252757394e-05,0.0006440301312769687,0.0002615492363715925
622663,2024,"severino, luis",2892,107.2,97.5,115.5,0.1730039522073467,-0.09728963036140524,0.4432975347760987,2.8632247472509376e-05,-5.1768456114343475e-05,0.0005018800161143063,0.0006372257819152344
693821,2024,"elder, bryce",864,107.2,98.6,114.3,0.2778690727567253,-0.10533131160896983,0.6610694571224204,-6.299770910781154e-05,0.00016933920810146297,0.0004950119690447238,0.0009351171332949705
690986,2024,"harrison, kyle",2078,107.2,97.5,115.5,0.1902637153688206,-0.10744828813729741,0.4879757188749386,-2.517534268234757e-05,7.443927191849775e-05,0.0005330313871416873,0.0006072625984405067
493603,2024,"ottavino, adam",1007,106.9,110.9,101.2,0.2454345290653422,0.41445928731086545,0.07640977081981892,0.00016729732185550298,-5.25464108215894e-05,0.0004161024271785149,0.00040766316140390847
666974,2024,"cano, yennier",1012,106.7,111.9,99.7,0.23614950796548995,0.45620882114811057,0.016090194782869355,0.00011167916741767576,0.00011282245757844098,0.00044556341680396943,0.00024806407691686794
593958,2024,"rodríguez, eduardo",871,106.7,97.1,115.0,0.25558983931361845,-0.17491643524544134,0.6860961138726782,-2.626279118557309e-05,3.20436942617803e-05,0.0005876128767552798,0.0007081181970289755
571578,2024,"corbin, patrick",2889,106.5,93.1,118.8,0.1563888398665683,-0.22105953304621678,0.5338372127793534,-4.833763316255711e-05,5.577231938630025e-05,0.00046952130139485214,0.0008436027170413138
678394,2024,"bello, brayan",2713,106.4,88.9,122.8,0.15561842514042168,-0.3451480217674263,0.6563848720482697,-7.911049378758082e-06,-0.00012706798438790555,0.0005738128478053012,0.0007086988400973806
671345,2024,"foley, jason",914,106.2,114.5,96.2,0.2299702018375699,0.5918660650089378,-0.13192566133379802,0.00037825172565732375,-0.0004554148785053762,0.0005730178604191064,-0.0002978681688912491
676440,2024,"bibee, tanner",2853,106.0,80.7,130.4,0.1428319678557321,-0.5716683509597354,0.8573322866711997,-0.00011058527732268637,-2.465358117153189e-05,0.0005393462129816121,0.0010622594425541176
641941,2024,"pagán, emilio",594,105.9,108.5,101.8,0.27983584489563373,0.4226772300002205,0.13699445979104696,0.00017485045666419194,-6.572407677778192e-05,0.0005854523925437,1.1483284858150668e-05
607536,2024,"freeland, kyle",1769,105.8,109.4,100.7,0.16039835571276229,0.27564613529476034,0.04515057613076423,4.3261548880505125e-05,0.000161274704243136,0.0006380717574927876,-0.0002532361461398342
669432,2024,"rogers, trevor",2248,105.8,89.4,121.3,0.14881366276637098,-0.34961030399519744,0.6472376295279394,-0.00012091522963647775,0.00014926204895561606,0.0006762087066844012,0.00041056936291198075
686563,2024,"cannon, jonathan",2029,105.3,89.9,119.8,0.13915600407726061,-0.3453496555210314,0.6236616636755526,2.1402875428136726e-05,-0.00019965778612015286,0.0005845654253924431,0.0006367460365618351
518876,2024,"kelly, merrill",1143,105.3,83.2,126.8,0.1772992813726031,-0.6949993797076184,1.0495979424528246,-0.00011380228226847923,-9.911411884838586e-05,0.0005547174527654408,0.0012653025502815344
663372,2024,"feltner, ryan",2580,105.1,91.2,118.2,0.12623169479468488,-0.2826645451638795,0.5351279347532493,-6.298259915960252e-05,5.080463431298063e-05,0.0005303300428764687,0.0006751589350082331
669387,2024,"mlodzinski, carmen",871,105.1,105.4,103.6,0.1944323705035046,0.1993303839729481,0.1895343570340611,5.569299858901415e-05,7.955241355377125e-05,0.00036758917748257587,0.0006881295187039831
676974,2024,"meyer, max",968,104.9,96.4,112.4,0.17431836580477778,-0.19261669584137642,0.541253427450932,-1.7445583218931516e-05,-1.5773796346588137e-06,0.0005848420459300511,0.0005305155167247364
676282,2024,"cantillo, joey",711,104.7,95.9,112.6,0.1976049011668948,-0.2565216592786284,0.651731461612418,-3.4626221402476624e-05,-1.8145261879681588e-06,0.00047137891181631825,0.0009892743107996682
696136,2024,"wicks, jordan",852,104.6,93.5,115.0,0.17799746493191632,-0.33847659157598586,0.6944715214398185,-0.00010384581909315941,0.00011451142597837047,0.0005682001842973712,0.0007731376927912729
694738,2024,"roupp, landen",907,104.6,105.6,102.4,0.16867011292393252,0.20235627997231137,0.13498394587555368,-4.835158110081231e-05,0.0003387407856542631,0.0002755795223109474,0.0008756934252495718
669373,2024,"skubal, tarik",2868,104.2,100.4,107.0,0.09835960471765844,-0.015204824763713105,0.21192403419902997,-7.245324154563184e-06,9.176046983227289e-05,0.0003989853174098612,0.0006289593492435184
606160,2024,"montero, rafael",683,104.0,111.1,95.8,0.17417648445452236,0.5241852865496194,-0.17583231764057466,5.375586982190674e-05,0.00030141423864013067,0.00024347046249797048,0.0005677620279047635
702352,2024,"bivens, spencer",770,104.0,110.3,96.6,0.16156198526620374,0.4476379923041458,-0.12451402177173831,-0.00013543999650173668,0.0007178983531860787,0.00020140030420104683,0.0007511129251233089
660853,2024,"de los santos, enyel",1138,104.0,112.4,94.4,0.13230181368479824,0.4515945814803007,-0.1869909541107042,0.00015811879548628958,-5.045432467684165e-06,0.00035787318220742453,0.00023347275003779067
677161,2024,"kelly, zack",969,103.9,104.9,102.1,0.14057445782755157,0.1667334933825218,0.11441542227258131,0.0001541250402549944,-0.0001855233447503879,0.0003941978199074993,0.0005175705329401811
